RRP_fascism:0 "Национальное Русское государство"
RRP_communism:0 "РСФСР"
RRP_democratic:0 "Российская Республика"
RRP_neutrality:0 "Российская федерация"
RRP_collectivism:0 "РСФСР"
RRP_fascism_DEF:0 "РРДРАУФ"
RRP_communism_DEF:0 "ЕЛФ"
RRP_democratic_DEF:0 "РР"
RRP_neutrality_DEF:0 "РФ"
RRP_collectivism_DEF:0 "РСФСР"
RRP_fascism_ADJ:0 "Русская республика для русских АУФ"
RRP_communism_ADJ:0 "РСФСР"
RRP_democratic_ADJ:0 "Российская Республика"
RRP_neutrality_ADJ:0 "РФ"
RRP_collectivism_ADJ:0 "ЕЛ Фракция"
